"Appreciation of Beauty and Excellence","Appreciation of Beauty and Excellence
"
"Appreciation of Beauty and Excellence_1","Notice at least one instance of natural beauty around you (sunrise, sunset, clouds, sunshine, snowfall, rainbows, etc).
"
"Appreciation of Beauty and Excellence_10","Improve your surroundings to be aesthetically beautiful.
"
"Appreciation of Beauty and Excellence_11","Listen a piece of music or a watch a film and evaluate how it touches you aesthetically.
"
"Appreciation of Beauty and Excellence_12","Plan a visit to museum, pick a piece of art, and consider how it touches you aesthetically.
"
"Appreciation of Beauty and Excellence_13","Write your aesthetic/artistic reactions to another person's artistic expression.
"
"Appreciation of Beauty and Excellence_14","Simply appreciate a beautiful piece of architecture, dress, sculpture, pottery, poetry, prose, etc.
"
"Appreciation of Beauty and Excellence_15","Explore expression of beauty in different cultures.
"
"Appreciation of Beauty and Excellence_16","Observe the birds.
"
"Appreciation of Beauty and Excellence_17","Explore which international holiday is today. Make a decoration celebrating this holiday.
"
"Appreciation of Beauty and Excellence_18","Explore beauty in the face of a child.
"
"Appreciation of Beauty and Excellence_19","Take mental pictures of art and note how they affect your everyday life.
"
"Appreciation of Beauty and Excellence_2","Take pictures of natural scenes or your loved ones.
"
"Appreciation of Beauty and Excellence_20","Note and write down how the goodness of other people affects your life.
"
"Appreciation of Beauty and Excellence_3","Think of something that contains beauty, love, and connection.
"
"Appreciation of Beauty and Excellence_4","Change the desktop background of PC or phone to something that sparks strong emotions.
"
"Appreciation of Beauty and Excellence_5","Plan to attend local exhibits of clothes, jewelry, cultural artifacts, and paintings.
"
"Appreciation of Beauty and Excellence_6","Search, experience and reflect on the excellence, beauty, and joy expressed through colors, sounds, flavors, images, ideas, aromas, sensations, or words.
"
"Appreciation of Beauty and Excellence_7","Notice and reflect on how others appreciate beauty and excellence through specific words, expressions, gestures, and actions.
"
"Appreciation of Beauty and Excellence_8","Notice, admire and reflect on excellence of someone's character strengths.
"
"Appreciation of Beauty and Excellence_9","Find and appreciate the subtle difference of today's weather versus yesterday.
"
"Bravery","Bravery
"
"Bravery_1","Reflect on the possibility or occurence of resistion social or peer pressure for noble values and causes in meaningful ways.
"
"Bravery_10","Speak up for or write about an unpopular idea.
"
"Bravery_11","Select a meaningful social change. Take small, practical step to bring it closer.
"
"Bravery_12","Notice and, if occurring, report an injustice, abuse, blatant unethical practice, or abuse of power or resources to appropriate authorities, even if the perpetrator is someone close to you.
"
"Bravery_2","Think how you can stand up for someone (such as a younger sibling or a battered woman) who will not otherwise stand up for themself. Act if possible.
"
"Bravery_3","Ask difficult questions that help you and others face reality.
"
"Bravery_4","Clarify your values by thinking about how best they have served you in challenging situations.
"
"Bravery_5","Reflect on a time where you was able to act successfully despite challenges. How can you ensure to do the same in the future?
"
"Bravery_6","Identify an area in which you generally shy away from confrontations. Practice the phrases, the tones, and the mannerisms that will enable you to effectively confront the situation next time.
"
"Bravery_7","Update your collection of contemporary stories of bravery in everyday life situations.
"
"Bravery_8","Reflect how can you be different but still positive. Act in such way when possible.
"
"Bravery_9","Think on where and how can you find more different but positive friends in your life.
"
"Citizenship","Citizenship
"
"Citizenship_1","Pick up litter on curbsides and put it in trashcans.
"
"Citizenship_10","Volunteer weekly for a community service project in your town, one that deals with what you are best at.
"
"Citizenship_11","Facilitate a group discussion and achieve consensus on a conflicting issue.
"
"Citizenship_12","Help at least one person yearly to set goals and periodically check on their progress.
"
"Citizenship_13","Arrange or attend at least one social gathering monthly.
"
"Citizenship_14","Spend at least half an hour weekly cleaning a communal place.
"
"Citizenship_15","Decorate a communal place.
"
"Citizenship_16","Play sports for your town or school.
"
"Citizenship_17","Start a book club.
"
"Citizenship_18","Car pool or give someone ride to work regularly.
"
"Citizenship_19","Start a community garden.
"
"Citizenship_2","Donate blood or become an organ donor.
"
"Citizenship_3","Seek a role in an organization or club that brings people of diverse cultures closer.
"
"Citizenship_4","Volunteer for activities such as serving as a Big Brother or Big Sister or constructing a Habitat for Humanity house.
"
"Citizenship_5","Organize a social gathering to bid farewell a parting neighbor or welcome a new neighbor.
"
"Citizenship_6","Volunteer to deliver Meals on Wheels in a poor neighborhood.
"
"Citizenship_7","Ask your neighbors, especially elderly ones, if they need anything from super market.
"
"Citizenship_8","Shovel snow or scrape ice for a neighbor.
"
"Citizenship_9","Cook a favorite meal for your neighbor or a friend.
"
"Creativity","Creativity"
"Creativity_1","Create and refine at least one original idea in an area of your interest.
"
"Creativity_10","Do at least one assignment in a different and creative manner.
"
"Creativity_11","Write an article, essay, short story, poem, draw, or paint in relation to your passion.
"
"Creativity_12","Offer one creative solution to challenges of a sibling or a friend.
"
"Creativity_13","Design a personalized card for a friend.
"
"Creativity_2","Compile an original and practical list of solutions or tips that will address common challenges faced by you and your peers.
"
"Creativity_3","Look for different and creative ways to spend more time at tasks you do best.
"
"Creativity_4","Brain-storm ideas on a challenging task with your friends.
"
"Creativity_5","Redesign at least part of your room or home.
"
"Creativity_6","Take a creative class or painting class.
"
"Creativity_7","Learn about an exotic and creative art such as Feng-shui or Ikebana.
"
"Creativity_8","Read about famous creative people and identify what made them unique.
"
"Creativity_9","Use leftovers (food, stationary and such) to make new products.
"
"Curiosity","Curiosity"
"Curiosity_1","Expand your knowledge in an area of interest through books, journals, magazines, TV, radio or internet.
"
"Curiosity_10","Attend a function/lecture/colloquium of a culture that differs from yours.
"
"Curiosity_2","Find a person who shares your area of your interest and learn how he/she increases his/her expertise in that area.
"
"Curiosity_3","Eat food of a different culture, explore its cultural context and become aware of your thoughts.
"
"Curiosity_4","Connect with a person of a different culture and spend at least an hour to learn about his/her culture.
"
"Curiosity_5","Make a list of unknowns about your favorite topic.
"
"Curiosity_6","Try things that challenge your existing knowledge and skills.
"
"Curiosity_7","Identify factors which might haven diminished your curiosity in an area and search three new ways to rejuvenate it.
"
"Curiosity_8","Get engaged in more open-ended learning experiences (i.e., making ice cream to understand physics and chemistry or taking a yoga class to understand different muscle groups).
"
"Curiosity_9","Explore processes of nature by being in the woods, park, stream, yard, etc.
"
"Fairness, Equity and Justice","Fairness, Equity and Justice"
"Fairness, Equity and Justice_1","The next time you make a mistake, self-monitor to see whether you admit it.
"
"Fairness, Equity and Justice_10","The next time you present an argument, self-monitor to see whether you compromise fairness for social desirability.
"
"Fairness, Equity and Justice_11","Encourage equal participation of everyone, especially those who feel left out in a discussion/activity.
"
"Fairness, Equity and Justice_12","Self-monitor to see whether your judgments are affected by your personal likes and dislikes or are based on principles of justice and fairness.
"
"Fairness, Equity and Justice_13","Recall and write about instances where you were unfair or could have been fairer. Consider how you could improve your future behavior.
"
"Fairness, Equity and Justice_14","Self-monitor to see whether you think about or treat people of other ethnicities and cultures stereotypically.
"
"Fairness, Equity and Justice_2","Serve on a club or organization that offers unprivileged people a leveling playing field.
"
"Fairness, Equity and Justice_3","Write a letter to an editor or speak up on an important issue concerning social justice.
"
"Fairness, Equity and Justice_4","Politely discuss fairness with a friend whom you notice shows gender or ethnic bias.
"
"Fairness, Equity and Justice_5","Volunteer or learn about an organization which educates and campaigns for equal human rights.
"
"Fairness, Equity and Justice_6","Explore an ongoing event anywhere in the world where human rights are being violated and write your reactions and suggestions to promote social justice on that issue.
"
"Fairness, Equity and Justice_7","Watch a film or a documentary which exemplifies fairness, social justice, and equity.
"
"Fairness, Equity and Justice_8","Read biographies of famous people who exemplify social justice such as Gandhi, Martin Luther King, and Nelson Mandela.
"
"Fairness, Equity and Justice_9","Speak up for your group
"
"Forgiveness","Forgiveness"
"Forgiveness_1","Remember times when you offended someone and were forgiven, then extend this gift to others.
"
"Forgiveness_10","Evaluate your emotions before and after forgiving someone.
"
"Forgiveness_2","Understand from the offender’s perspective why he/she offended you. Then assess whether your reaction is hurting you more than offender.
"
"Forgiveness_3","Make a list of individuals against whom you hold a grudge, then either meet them personally to discuss it or visualize whether bygones can be bygones.
"
"Forgiveness_4","Meet a person who offended you in the past, especially if he/she is a family member. Tell them that you have forgiven them, or just be kind in your interaction with them.
"
"Forgiveness_5","Ask for forgiveness from a Divine power according to your faith and assess how you feel afterwards.
"
"Forgiveness_6","Pray for the noble behavior of your offender.
"
"Forgiveness_7","Identify how a grudge tortures you emotionally. Does it produce disruptive emotions (anger, hatred, fear, worry, sadness, anxiety, jealousy and such)? Write three ways these disruptive emotions affect your behavior.
"
"Forgiveness_8","Plan out what your response should be the next time someone offends you. Remind yourself of your plan (rehearse if possible) and periodically affirm, “No matter how he/she offends me, I will respond as I have planned.”
"
"Forgiveness_9","Imagine your offender and consider whether you have any payback fantasies. Imagine in detail what might happen if you forgive the offender. Journal your reactions. Start with a moderate offense and continue till you achieve forgiveness and resolution. During this exercise continuously remind yourself this is a forgiving exercise, not a grudge-holding one.
"
"Gratitude","Gratitude"
"Gratitude_1","Consider how this statement describes your usual mental state: “A still mind sees what is good and present. An anxious mind sees what is negative and missing.” Still your mind for five minutes in the morning and in the evening.
"
"Gratitude_10","Count three your blessings (good things that happened to you) before going to bed every day.
"
"Gratitude_11","Express your gratitude to someone whom haven’t told before, preferably through a personal visit.
"
"Gratitude_12","Every day, select one small yet important thing that you take for granted. Work on being mindful of this thing in the future.
"
"Gratitude_13","Notice how many times you say thanks and whether you mean it every time.
"
"Gratitude_14","Express gratitude by leaving a note for someone who has helped your intellectual growth (e.g., a high school teacher).
"
"Gratitude_15","Express thanks to all who contributed to your success, no matter how small their contribution might have been.
"
"Gratitude_16","Express thanks without just saying “thanks”-- be more descriptive and specific (e.g., “I appreciate your prudent advice”).
"
"Gratitude_2","Write three apprehensions that you feel when you wake every morning. Before you go to bed, write three good things that happened to you and why. Then evaluate your apprehensions in light of the good things.
"
"Gratitude_3","Set aside at least ten minutes every day to savor a pleasant experience. Decide to withhold any conscious decisions during these ten minutes.
"
"Gratitude_4","Write a letter to an editor about an event that brought your community closer.
"
"Gratitude_5","Express gratitude to public officials such as police officers, fire fighters, and postal workers.
"
"Gratitude_6","Before eating, think of all people who have contributed to what you are eating. Do this at least once a week.
"
"Gratitude_7","Over dinner, talk with your loved ones about two good things that happened to them during the day.
"
"Gratitude_8","Think of three past adversities and identify three serendipitous goods they led to.
"
"Gratitude_9","Reminisce about your best moments of recognition, achievement, praise, and connection.
"
"Hope","Hope"
"Hope_1","Recall a situation when you or someone close to you overcame a difficult obstacle and succeeded.
"
"Hope_10","List all the bad things that happened to you, then find at least two positive for each.
"
"Hope_11","Visualize where and what you want to be after one, five and ten years. Sketch a pathway that you can follow to get there.
"
"Hope_12","Record your negative and positive thoughts and notice how they affect your future performance.
"
"Hope_2","Read about someone who succeeded despite difficulties and setbacks.
"
"Hope_3","Recall bad decisions you made, forgive yourself, and see how you can make better decisions in the future.
"
"Hope_4","When facing adversity, focus how you overcame a similar adversity in the past.
"
"Hope_5","Mentally rehearse your next anticipated challenge. Build perspective by managing obstacles rather then trying to eliminate all of them.
"
"Hope_6","For the next three challenging tasks, identify what would work best for you, thinking your way into right action or acting your way into right thinking.
"
"Hope_7","Document past three accomplishments in detail and let them inspire your future.
"
"Hope_8","Surround yourself with optimistic and future-minded friends, particularly when you face a setback.
"
"Hope_9","Schedule at least fifteen minutes twice a week to spend generating optimistic ideas. Write them down and list actions you can take to realize your ideas. Discuss your ideas with your friends and make them partners in your endeavors.
"
"Humility / Modesty","Humility / Modesty"
"Humility / Modesty_1","Resist showing off accomplishments for a week and notice the changes in your interpersonal relationships
"
"Humility / Modesty_10","At the end of each day, identify something you did to impress people or put on a show. Resolve not to do it again.
"
"Humility / Modesty_11","Resist showing off if you notice that you are better than someone else.
"
"Humility / Modesty_2","Resist showing off when others shows off.
"
"Humility / Modesty_3","Notice if you speak more than others in a group situation.
"
"Humility / Modesty_4","Dress and speak modestly.
"
"Humility / Modesty_5","Compliment sincerely if you find someone is authentic and better than you in some ways.
"
"Humility / Modesty_6","Use environmental resources modestly (use recycled products, limit use of products which harm the environment, etc.).
"
"Humility / Modesty_7","Admit your mistakes and apologize even to those who are younger than you.
"
"Humility / Modesty_8","Utilize your sexual energies modestly (have one committed sexual partner).
"
"Humility / Modesty_9","Ask a trusted friend for honest feedback about your weaknesses.
"
"Humor","Humor"
"Humor_1","Bring smile to someone’s face every day through jokes, gestures, and playful activities.
"
"Humor_10","Learn a new joke three times a week and tell them to friends.
"
"Humor_11","Watch a sitcom, funny show/movie, or read a comic daily.
"
"Humor_12","Cheer up a gloomy friend.
"
"Humor_13","Find the fun and lighter side in most situations.
"
"Humor_14","Be friends with someone who has great sense of humor.
"
"Humor_15","Impersonate someone and share this with someone close to you.
"
"Humor_2","Go out with your friends at least once a month for bowling, hiking, cross-country skiing, biking, and such.
"
"Humor_3","Make a snowman when it snows or play volleyball at the beach.
"
"Humor_4","Send funny emails to your friends.
"
"Humor_5","Dress up for Halloween.
"
"Humor_6","Play with your pet daily.
"
"Humor_7","Go watch fireworks with your loved ones.
"
"Humor_8","Go with your loved ones to a baseball, hockey, or basketball game.
"
"Humor_9","Go with your loved ones to a holiday show.
"
"Integrity","Integrity"
"Integrity_1","Refrain from telling small, white lies to friends and family (including insincere compliments). If you do tell one, admit it and apologize right away.
"
"Integrity_10","Think of creative yet honest ways of relating to others.
"
"Integrity_11","Monitor every time you tell a lie, even if it is a small one. Try to make your list shorter every day.
"
"Integrity_2","Monitor to catch lies of omission (such as not volunteering important information when selling a used item) and think how would you feel if someone did the same to you.
"
"Integrity_3","Rate your satisfaction with authentic, honest, and genuine deeds vs. inauthentic and less then honest actions.
"
"Integrity_4","Monitor whether your next five significant actions match your words and vice-versa.
"
"Integrity_5","Write on issues about which you feel moral obligation. It helps to crystallize and integrate thinking.
"
"Integrity_6","Think and act fairly when your face the next challenge, regardless of its impact on your position or popularity.
"
"Integrity_7","Identify your area of strongest moral convictions. Set your priorities according to your convictions.
"
"Integrity_8","Seek roles with clear structure that allow you to be authentic and honest.
"
"Integrity_9","Learn and practice the ethical standards of your profession.
"
"Kindness","Kindness"
"Kindness_1","Do three random acts of kindness per week for those whom you know (e.g., small favors for friends and neighbors, calling sick or sad friends, getting groceries for a friend busy in exams, or baby-sitting, etc).
"
"Kindness_10","Do one random act of kindness weekly for someone you don’t know.
"
"Kindness_11","Donate blood periodically.
"
"Kindness_12","Visit someone who is sick and in the hospital.
"
"Kindness_13","Visit someone in a nursing home or hospice.
"
"Kindness_14","Give gifts to others which involve experiential activities.
"
"Kindness_15","Take out a friend(s) on a surprise dinner and pay for it.
"
"Kindness_16","Say kinder and softer words to people when interacting through email, writing letters, talking on phone.
"
"Kindness_17","Cook a nice meal for your loved ones.
"
"Kindness_2","Share your belongings with others (e.g., lawn mover, snow blower, jump cables).
"
"Kindness_3","Make an inventory of your possessions, keep only what you absolutely need, and donate the rest.
"
"Kindness_4","Donate your time to others through helpful actions.
"
"Kindness_5","Greet others with smile.
"
"Kindness_6","While driving, give way to others or hold the door.
"
"Kindness_7","Help fix someone’s flat tire.
"
"Kindness_8","Fix a community apparatus (such as playground equipment) even if you did not break it.
"
"Kindness_9","Stop and help someone who needs help on a highway.
"
"Leadership","Leadership"
"Leadership_1","Lead an activity, assignment or project and actively solicit opinions from group members.
"
"Leadership_10","Organize a family event that is intergenerational, including both young and old relatives.
"
"Leadership_11","Organize an event (surprise birthday party, shower, etc.) at your work that involves your colleagues.
"
"Leadership_12","Mentor a child in your neighborhood who would benefit from your skills.
"
"Leadership_13","Stand up for someone who is being treated unfairly.
"
"Leadership_14","Rotate leadership of an event or activity. Give others the chance to be leaders.
"
"Leadership_2","Read a biography and/or watch film of your favorite leader and evaluate how he/she inspires you in practical ways.
"
"Leadership_3","When two people are in an argument, mediate by inviting others to share their thoughts and emphasizing problem solving.
"
"Leadership_4","Help coach Little League or other youth sports even if you don’t have a child playing.
"
"Leadership_5","Initiate and lead a new family tradition such as thematic reunions, anniversaries, surprise parties, family strength dates, etc.
"
"Leadership_6","Organize a town-wide or block-wide yard sale.
"
"Leadership_7","Host a block party or holiday open house.
"
"Leadership_8","Gather and lead a group to clean a local park or cemetery.
"
"Leadership_9","Start a fitness or health group with your co-workers.
"
"Love","Love"
"Love of learning","Love of learning"
"Love of learning_1","Deliberately learn five new words, including their meaning and usage.
"
"Love of learning_10","Visit a new museum and write about new things learned.
"
"Love of learning_11","Start a non-fiction book on a topic you find absorbing and engaging.
"
"Love of learning_2","Read and research about a topic by visiting the library. Write one page of pragmatic ideas which can advance that field and discuss them with someone.
"
"Love of learning_3","Converse with someone on a topic of mutual interest.
"
"Love of learning_4","Follow an ongoing global event through newspapers, TV or internet.
"
"Love of learning_5","Attend new gallery/exhibition openings in your area.
"
"Love of learning_6","Read aloud with your loved ones.
"
"Love of learning_7","Arrange a teach-learn date with a friend, learn a skill, and teach what you are best at.
"
"Love of learning_8","Identify topics on which you can share your knowledge with your peers.
"
"Love of learning_9","Attend seminars, workshops, and conferences in your area of interest.
"
"Love_1","Express (verbally and/or non-verbally) to your loved ones that no matter what happens, your love for them will remain unconditional.
"
"Love_10","Express your love through physical gestures (hugs, kisses, cuddling, giving a gentle massage).
"
"Love_11","Focus on the implicit motives of your loved ones, rather their behaviors.
"
"Love_12","Explore and appreciate the strengths of your loved ones.
"
"Love_13","Arrange a date with your mate that celebrates both of your signature strengths.
"
"Love_14","Express your love through gifts. When possible, create gifts yourself.
"
"Love_15","Always celebrate days or occasions that are mutually important.
"
"Love_16","Express your love creatively (e.g., through a poem, notes, sketches, photographs of an important place, event or situation which reminds you of mutual love).
"
"Love_17","Help your loved ones with a self-improvement plan (e.g., a new class, weight loss, exercise, a new career).
"
"Love_18","Plan and host a dinner party with your significant other.
"
"Love_19","Reunite at the end of the day and discuss how it went.
"
"Love_2","Attend a concert, theatre, movies, or go dancing with your loved one.
"
"Love_3","Engage in a favorite activity (e.g., hiking, going to an amusement park, biking, walking in the park, swimming, camping, jogging) together.
"
"Love_4","Attend your child’s sporting events or performances (recital, play, etc) together.
"
"Love_5","Go out (without kids) for brunch or dinner.
"
"Love_6","Help your loved ones plan their future by helping them identify their signature strengths. Then, collaborate to design a future based on their signature strengths.
"
"Love_7","If you want to help your loved ones, first consider their strengths. Design your help around their strengths.
"
"Love_8","Tape record your parent’s earliest recollections and share them with your children.
"
"Love_9","Make a family blessing journal in which everyone writes good things that happen to them daily.
"
"Open-mindedness","Open-mindedness"
"Open-mindedness_1","Identify reasons of your last three actions that you are not happy with (not following through with a goal) and brainstorm better alternative ideas for the future.
"
"Open-mindedness_10","Ask a trusted and wise friend to critically appraise your judgment on your last three significant actions.
"
"Open-mindedness_11","Play devil’s advocate on an issue that you have strong opinions about.
"
"Open-mindedness_12","Practice the common themes that exist across races and religions on an important issue.
"
"Open-mindedness_2","Identify the last three actions for which you did not think your way through.
"
"Open-mindedness_3","Start an activity and ask yourself -- Why? When? And how?
"
"Open-mindedness_4","Attend a multi-cultural event and critically evaluate your views during and afterwards.
"
"Open-mindedness_5","Identify causes of a perceived failure of an activity in the past. Are there any patterns? Take some time to think deeply about how can you improve.
"
"Open-mindedness_6","When deciding about an important issue, write pros and cons and repeat them while taking breaks in between.
"
"Open-mindedness_7","Mentor someone of a different ethnic or religious background.
"
"Open-mindedness_8","Monitor if you often find information to confirm your opinions or seek new information to expand your view.
"
"Open-mindedness_9","When you face the next challenge, first imagine the best and worst scenarios and then decide the most realistic course of action.
"
"Persistence","Persistence"
"Persistence_1","Plan a big project and finish it ahead of time.
"
"Persistence_10","Select two activities that you find engaging and meaningful and give 100% to them.
"
"Persistence_11","Set five small goals weekly. Break them into practical steps, accomplish them on time, and monitor your progress from week to week.
"
"Persistence_12","Work harder than usual at your most important goal.
"
"Persistence_13","Select a role-model who exemplifies perseverance and determine how you can follow her/his footsteps.
"
"Persistence_14","Read an inspiring quotation or poem which motivates you to achieve your goals.
"
"Persistence_15","Seed some flowering plants early in the spring and tender them throughout the summer.
"
"Persistence_16","Write your goals and aims and post them where you can see them regularly. Let them inspire you.
"
"Persistence_17","Manage a challenging task from start to finish at your work.
"
"Persistence_2","Take control of at least one new situation at home or work, one that you can handle. If you fail, revise your plan but don’t give up until you finish.
"
"Persistence_3","Regularly articulate your goals into specific actions. This helps you to stay motivated and persistent.
"
"Persistence_4","Keep a checklist of things to do and regularly update it.
"
"Persistence_5","Attend a seminar or workshop on time management.
"
"Persistence_6","Share your goals with your loved ones. Let them inspire you regularly.
"
"Persistence_7","Think about what you would like to accomplish in the next five years. Develop a road map and assess how your present skills match with your goals.
"
"Persistence_8","Be aware how to cut your losses in tasks which don’t require persistence.
"
"Persistence_9","For your next challenging task, make a realistic timeline.
"
"Perspective","Perspective"
"Perspective_1","Explain the broad outlook of your life in one or two sentences.
"
"Perspective_2","Find purpose in the last five of your significant actions/decisions.
"
"Perspective_3","Find someone wise (alive or someone who has passed on), read or watch a film on their life, and identify how their life can guide your decisions and actions.
"
"Perspective_4","Read quotes of wisdom and re-write them in small practical action steps for yourself.
"
"Perspective_5","Become aware of the moral implications and potential consequences of your future actions.
"
"Perspective_6","Reflect on the moral implications of scientific endeavors that directly affect your life.
"
"Perspective_7","Examine a world event from historical, cultural and economic perspectives.
"
"Perspective_8","Schedule time when you can optimally muse, analyze, reflect, and synthesize on an issue about which you feel ambivalent.
"
"Perspective_9","Connect your beliefs with your emotions.
"
"Prudence","Prudence"
"Prudence_1","Think twice before saying anything. Do this exercise at least ten times a week and note its effects.
"
"Prudence_10","Drive cautiously and note that there are fewer time-bound emergencies than you actually think.
"
"Prudence_11","Remove all extraneous distractions before your make your next three important decisions.
"
"Prudence_2","Consult with your significant others before making a final decision.
"
"Prudence_3","Visualize the consequences of your decisions in one, five, and ten years’ time.
"
"Prudence_4","Do a risk-benefit analysis before making a final decision.
"
"Prudence_5","Make important decisions when you are relaxed, not anxious or depressed.
"
"Prudence_6","Before cheating or lying even for trivial things, ask yourself whether you will need ten more lies to hide the first lie.
"
"Prudence_7","Avoid competitive situations that generally end in win-loss outcomes or in which you or your opponent have little chance to win.
"
"Prudence_8","Don’t hesitate to check as often as necessary to ensure all relevant details of your next important task are covered.
"
"Prudence_9","Evaluate the quality, efficiency, and wisdom of your next three projects and write down methods of improvement.
"
"Self-Regulation","Self-Regulation"
"Self-Regulation_1","Set goals to improve your everyday living (e.g., room cleaning, laundry, doing dishes, cleaning your desk) and make sure you complete the tasks.
"
"Self-Regulation_10","Monitor and eliminate distractions (phone, TV, computer) while focusing on a particular assignment.
"
"Self-Regulation_11","Eliminate objects of temptation (dieting – don’t eat junk food; alcohol – don’t socialize in bars; smoking – replace cigarettes with chewing gum; shopping – leave credit card or money at home)
"
"Self-Regulation_12","Start a regular workout routine and make sure you stick to it.
"
"Self-Regulation_13","Next time you get upset, try to control your emotions and focus on positive attributes.
"
"Self-Regulation_2","Avoid talking about others in their absence.
"
"Self-Regulation_3","When you get upset, try to do a progressive relaxation
"
"Self-Regulation_4","Self-congratulate for self-regulation when you successfully resist an indulgence.
"
"Self-Regulation_5","Carefully create routines that you can follow thorough systematically. Make minor adjustments as needed but keep the core elements intact.
"
"Self-Regulation_6","Establish a regular time and a place for most of your activities.
"
"Self-Regulation_7","Identify your role models and examine them in detail. Let these details inspire and regulate your goals.
"
"Self-Regulation_8","Pay close attentions to your biological clock. Do your most important tasks when you are most alert.
"
"Self-Regulation_9","Do partial or complete fasting or deliberately resist a comfort (e.g., chocolate, ice-cream, sex, TV) for a while. Reward yourself with it after accomplishing a challenging task.
"
"Social Intelligence","Social Intelligence"
"Social Intelligence_1","Withhold a powerful and decisive argument which will win you the discussion but might hurt someone, at least twice a month.
"
"Social Intelligence_10","Listen to your friends and siblings empathically, without preparing rebuttals, and simply reflect your feelings.
"
"Social Intelligence_11","If someone offends you, attempt to find at least one positive element in their motives.
"
"Social Intelligence_12","Attend an uncomfortable social situation as an active observer and describe what you observe without any judgments.
"
"Social Intelligence_13","Note and appreciate others in the light of their positive attributes.
"
"Social Intelligence_14","Write five personal feelings daily for four weeks and monitor patterns.
"
"Social Intelligence_15","Watch a favorite TV program or film muted and write feelings observed.
"
"Social Intelligence_2","Express feelings appropriately to someone you have not done so far, and process them together.
"
"Social Intelligence_3","Ask someone close to you about times you did not emotionally understand him/her and how he/she would like to be emotionally understood in the future.
"
"Social Intelligence_4","Listen to others with unconditional regard.
"
"Social Intelligence_5","Notice when your family and friends grow. Congratulate them and record specific observations.
"
"Social Intelligence_6","Identify which of your friends relates most emphatically with others. Observe them closely.
"
"Social Intelligence_7","When working with others, emphasize the value of being agreeable.
"
"Social Intelligence_8","In your close relationships, speak plainly and directly about your needs and wishes.
"
"Social Intelligence_9","Perceive and acknowledge three sincere gestures of a friend.
"
"Spirituality","Spirituality"
"Spirituality_1","Spend some time every day in at least one activity that connects you with a higher power or reminds you where you fit in the large scheme of things.
"
"Spirituality_10","Spend ten minutes daily in breathing deeply, relaxing, and meditating (emptying the mind of thoughts by focusing on breathing).
"
"Spirituality_11","Mindfully worship and/or pray for five to ten minutes a day.
"
"Spirituality_12","Read a spiritual or religious book every day for half an hour.
"
"Spirituality_2","Explore different religions – take a class, research over the internet, meet a person of different religion, or attend the congregation of a different religion.
"
"Spirituality_3","Note whether your everyday actions have any spiritual significance. If not, think ways of connecting the two.
"
"Spirituality_4","Explore a fundamental purpose of your life and link your actions to that purpose.
"
"Spirituality_5","Reflect how your spiritual beliefs and practices connect you with others authentically.
"
"Spirituality_6","Make a weekly list of experiences that forge strong connections in your life.
"
"Spirituality_7","Write your eulogy or ask your loved ones how they would like to remember you.
"
"Spirituality_8","Build relationships with people who appreciate your ability to help them identify and solve problems.
"
"Spirituality_9","Connect with people and organization that enhances your signature strengths.
"
"Vitality","Vitality
"
"Vitality_1","Do something that you already do, but with more energy, including some creative and different elements.
"
"Vitality_10","Exercise at least 2-3 times a week, and notice how it affects your energy level.
"
"Vitality_11","Do a physical activity of your choice, one that you donЎЇt Ў°have to doЎ± and that you are not told to do.
"
"Vitality_12","Improve your sleep hygiene by establishing regular sleep time, eating 3-4 hours before sleeping, avoiding doing any work in the bed, not taking caffeine late in the evening, etc. Notice changes in your energy level.
"
"Vitality_13","Think of ways to make an assignment exciting and engaging before you undertake it.
"
"Vitality_2","Do a physically rigorous activity (bike riding, running, sports singing, playing) that you always wanted to do but have not done yet.
"
"Vitality_3","ing in a choir or play an instrument.
"
"Vitality_4","Attend a dance club, concert, or a performing art event.
"
"Vitality_5","Watch a sitcom or a comedy film weekly.
"
"Vitality_6","Socialize with friends who like to laugh heartily.
"
"Vitality_7","Do at least one outdoor activity weekly such as hiking, biking, mountain climbing, brisk walking, or jogging, for an hour.
"
"Vitality_8","Take time to celebrate your next two accomplishments and victories.
"
"Vitality_9","Call old friend and reminisce good old times.
"
